SMILES,MolecularWeight,LogP,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA
CC(NC(C)(C)C)C(=O)c1ccc(Br)cc1,283.057176296,3.408400000000002,3,2,1,29.1
CCCCCCC(C(=O)NO)S(=O)(=O)c1ccc(OCC#CC)cc1,367.1453439,2.706800000000001,10,5,2,92.7
NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(=O)(=O)N,303.914604032,0.2882000000000006,2,4,2,120.32000000000001
NS(=O)(=O)c1ccc(NC(=O)CC#N)cc1,239.036462148,0.18618000000000007,3,4,2,113.04999999999998
CCCCCCCCOc1ccc(NC(=O)[C@@](C)(N)COP(=O)(O)O)cc1F,420.1825515299999,3.3302000000000014,13,5,4,131.11
C[C@H](Cc1ccccc1)N(C)CC#C,187.136099544,2.1826,4,1,0,3.24
CN(C)CC\N=C(\S)/NCCc1ccc(cc1)S(=O)(=O)N,330.11841794399993,0.3135,7,4,3,87.79
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC=O,306.157957184,1.4374999999999998,6,4,2,84.5
CNC[C@H](O)c1ccc(O)c(O)c1,183.089543276,0.35060000000000013,3,4,4,72.72
CCCCCCCOc1ccc(CC[C@](C)(N)CCC(=O)O)cc1,335.24604391599996,4.550600000000003,13,3,2,72.55
CC(C)(C)OC(=O)NS(=O)(=O)NCc1ccccc1,286.09872805599997,1.5456999999999996,4,4,2,84.5
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N,318.169190564,1.7236799999999999,6,5,1,85.67
CNC(=O)[C@@H](NC(=O)[C@H](CCCCOCc1ccccc1)CC(=O)NO)C(C)(C)C,421.25767122,2.1620999999999997,12,5,4,116.76
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,398.18754305999994,2.726400000000001,11,4,2,103.78000000000002
C[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N,290.137890436,1.08758,5,5,1,85.67
CC(F)CNc1ccc(cc1)S(=O)(=O)N,232.068176876,1.1039,4,3,2,72.19
NS(=O)(=O)c1c(F)c(F)c(NCCCCCC(=O)O)c(F)c1F,358.061040808,1.9473000000000007,8,4,3,109.49
Nc1cc(Cl)c(cc1S(=O)(=O)N)S(=O)(=O)N,284.964475416,-0.7829999999999999,2,5,3,146.34
CCCCCC[C@H](C(=O)NO)S(=O)c1ccc(OCC#CC)cc1,351.15042928,3.040700000000002,10,4,2,75.63000000000001
CC(=O)Oc1ccccc1C(=O)O,180.042258736,1.3101,2,3,1,63.60000000000001
CCCNC(=O)CCC[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC,420.237270124,0.6681000000000028,13,5,5,136.63
O\N=C(/Cc1ccc(O)c(Br)c1)\C(=O)NCCS,331.983025376,1.5733999999999997,5,5,4,81.92000000000002
OP(=O)(O)C(Nc1ccc(Cl)c(Cl)c1)P(=O)(O)O,334.928215628,2.0443000000000007,4,3,5,127.09
CNc1ccc(cc1)C(=O)NO,166.07422756,0.8472999999999999,2,3,3,61.36
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCC#N,381.0688036,2.52468,5,4,2,91.22
COC(=O)c1ccc(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)CC(=O)NO)cc1,435.236935776,2.5004,11,6,4,133.82999999999998
CN(C)S(=O)(=O)c1cc(ccc1C)[N+](=O)[O-],244.051777864,1.15352,3,4,0,80.52
ONC(=O)CCCCCNC(=O)\C=C\c1ccc(Cl)cc1F,328.09899833599997,2.6743000000000006,8,3,3,78.43
OP(=O)(O)C(NS(=O)(=O)c1ccc(Br)cc1)P(=O)(O)O,408.8785726399999,0.3664000000000001,5,4,5,161.22999999999996
