SMILES,MolecularWeight,LogP,RotatableBonds,HBondAcceptors,HBondDonors,FormalCharge
CC(C)C(=O)COc1nc(N)nc2[nH]cnc12,235.106924656,0.5389999999999999,4,6,2,0
Nc1nc(OC[C@@H]2CCCO2)c2nc[nH]c2n1,235.106924656,0.4928999999999992,3,6,2,0
Nc1nc(OC[C@H]2CCC(=O)N2)c2nc[nH]c2n1,248.102173624,-0.40750000000000036,3,6,3,0
Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,247.14331016399998,1.8941999999999999,3,5,2,0
Nc1nc(OC[C@@H]2CC=CCC2)c2nc[nH]c2n1,245.12766009999999,1.6702,3,5,2,0
Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,298.15420919599995,1.3795999999999995,6,7,3,0
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,354.21680945199995,3.2021000000000015,8,7,3,0
COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,400.22228875599995,1.8188999999999997,10,9,3,0
Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,251.138224784,1.9979999999999996,4,7,2,0
COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,241.085126592,1.9109999999999994,2,3,2,0
COc1cc[nH]c1/C=C1\C(=O)Nc2ccc([N+](=O)[O-])cc21,285.074955832,2.424199999999999,3,4,2,0
CCc1cnc(CSc2cnc(NC(=O)C(C)C)s2)o1,311.076218784,3.580300000000002,6,6,1,0
CCCCOc1c(C(=O)c2nccs2)cnc2[nH]ncc12,302.08374668799996,2.824300000000001,6,6,1,0
COc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,282.0804558120001,3.548300000000002,2,2,2,0
[NH3+]CCSc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,328.09143774009004,2.8736999999999995,4,2,3,1
NC(=O)Nc1cccc2c1C(=O)c1c-2n[nH]c1-c1cccs1,310.05244655999996,2.8402000000000003,2,4,3,0
COc1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,310.095356928,2.2289,2,4,2,0
CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCNC3=O)C(=O)N2,372.089225992,0.7013999999999998,3,4,4,0
CC(=O)Nc1cccc2c1C(=O)c1c-2n[nH]c1-c1ccncc1,304.096025624,2.6415000000000006,2,4,2,0
COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(N)=O)cccc2-3)cc1,334.106590308,2.7872999999999992,3,4,3,0
COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN(C)C)cccc2-3)cc1,377.148789468,2.894800000000001,4,5,3,0
Cc1nc2ccccn2c1-c1ccnc(Nc2ccccc2)n1,301.13274548,3.843320000000001,3,5,1,0
Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OC[C@@H](O)C[NH+](C)C)cc2)n1,419.21900052408995,1.7275199999999988,8,7,3,1
O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,308.127325752,3.016300000000001,2,3,2,0
