SMILES,mu,alpha,homo,lumo,gap,zpve,MolecularWeight,LogP,RotatableBonds,HBondAcceptors,HBondDonors,FormalCharge
C,0.0,2.4,-0.5,0.2,0.7,0.04,16.031300127999998,0.6361,0,0,0,0
CC,0.0,4.0,-0.4,0.2,0.7,0.07,30.046950192,1.0262,0,0,0,0
CCC,0.1,5.5,-0.4,0.2,0.6,0.09,44.062600255999996,1.4163,0,0,0,0
CCCC,0.1,6.9,-0.4,0.2,0.6,0.12,58.07825032,1.8064,1,0,0,0
C1=CC=CC=C1,0.0,10.0,-0.3,0.1,0.4,0.12,78.046950192,1.6866,0,0,0,0
CO,1.7,2.9,-0.4,0.2,0.6,0.06,32.026214748,-0.3915,0,1,1,0
CCO,1.7,4.6,-0.4,0.2,0.5,0.08,46.041864812,-0.0014000000000000123,0,1,1,0
CC(=O)O,1.8,5.1,-0.3,0.1,0.4,0.08,60.021129368000004,0.09089999999999993,0,1,1,0
CCOC(=O)C,1.9,8.0,-0.3,0.1,0.4,0.13,88.052429496,0.5694,1,2,0,0
C1CCCCC1,0.0,10.5,-0.4,0.2,0.6,0.16,84.093900384,2.3406000000000002,0,0,0,0
CC=O,2.7,3.2,-0.3,0.1,0.4,0.05,44.026214748,0.2052,0,1,0,0
CC(C)=O,2.9,5.8,-0.3,0.1,0.4,0.07,58.041864812,0.5952999999999999,0,1,0,0
CC(=O)N,3.7,5.7,-0.3,0.1,0.4,0.07,59.03711378,-0.5084,0,1,1,0
C1=CC=C(C=C1)O,1.4,11.1,-0.3,0.1,0.4,0.14,94.041864812,1.3921999999999997,0,1,1,0
NC(=O)O,4.1,4.3,-0.3,0.1,0.4,0.05,61.016378336,-0.37690000000000007,0,1,2,0
CC#N,3.9,3.9,-0.3,0.1,0.4,0.05,41.026549096,0.52988,0,1,0,0
C=C,0.0,3.3,-0.4,0.1,0.5,0.05,28.031300127999998,0.8022,0,0,0,0
C#C,0.0,3.0,-0.4,0.1,0.5,0.04,26.015650064,0.24939999999999998,0,0,0,0
N,1.5,2.1,-0.3,0.2,0.5,0.03,17.026549096,0.16199999999999998,0,1,1,0
O,1.8,1.5,-0.5,0.2,0.7,0.02,18.010564684,-0.8247,0,0,0,0
